epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,33925.7,0.98024,0.58701,0.96362,0.80431,0.27635,0.32828,0.21255,0.92844,0.98501,0.64777,0.001684,0.001684,0.001684
86,34337.8,0.97214,0.58088,0.96358,0.80558,0.27606,0.32803,0.21233,0.92986,0.98331,0.64849,0.001585,0.001585,0.001585
87,34749.8,0.97892,0.57649,0.96265,0.80425,0.27563,0.32766,0.21166,0.93132,0.98496,0.64929,0.001486,0.001486,0.001486
88,35161.5,0.96552,0.57394,0.96194,0.80567,0.27462,0.3276,0.21126,0.93305,0.98463,0.65044,0.001387,0.001387,0.001387
89,35575.3,0.96589,0.57302,0.95854,0.80999,0.27362,0.32743,0.21092,0.93525,0.98602,0.65152,0.001288,0.001288,0.001288
90,35987.8,0.94965,0.56016,0.95326,0.82265,0.27232,0.3271,0.2105,0.93688,0.98844,0.65238,0.001189,0.001189,0.001189
91,36389.6,0.8861,0.52044,0.89107,0.82361,0.27175,0.32652,0.20986,0.9391,0.97512,0.65298,0.00109,0.00109,0.00109
92,36789,0.87202,0.51015,0.88368,0.82131,0.27096,0.32628,0.21009,0.9396,0.96395,0.653,0.000991,0.000991,0.000991
93,37188.6,0.8655,0.4996,0.88435,0.82044,0.27146,0.32617,0.20991,0.94014,0.95555,0.65288,0.000892,0.000892,0.000892
94,37586.9,0.85092,0.48684,0.88218,0.81657,0.27103,0.32584,0.20962,0.94106,0.95307,0.65307,0.000793,0.000793,0.000793
95,37991.5,0.83768,0.47773,0.87542,0.803,0.27193,0.32556,0.20935,0.94261,0.95008,0.65356,0.000694,0.000694,0.000694
96,38390.9,0.8365,0.47691,0.87358,0.80162,0.27175,0.32524,0.20923,0.94465,0.94929,0.65425,0.000595,0.000595,0.000595
97,38793.8,0.8282,0.46812,0.87137,0.81624,0.27015,0.32545,0.20908,0.94623,0.94969,0.65498,0.000496,0.000496,0.000496
98,39193.7,0.83,0.46601,0.8735,0.81851,0.27031,0.32524,0.209,0.94782,0.95012,0.65578,0.000397,0.000397,0.000397
99,39595.4,0.82335,0.46491,0.86794,0.82038,0.27031,0.3258,0.20886,0.94939,0.95189,0.6568,0.000298,0.000298,0.000298
100,39994.2,0.81634,0.45894,0.87093,0.82041,0.27031,0.3259,0.20896,0.95161,0.95459,0.65823,0.000199,0.000199,0.000199
